teks,label,matkul
suka materi yang membahas peran informatika di berbagai bidang,Positif,Pengantar Informatika
saya kurang eksplorasi sehingga terasa kurang mendalam,Negatif,Pengantar Informatika
aku suka bagian praktik coding karena bisa langsung mencoba apa yang dipelajari di kelas,Positif,Algoritma Pemrograman 1
menurut saya tugasnya kadang cukup banyak dan butuh waktu ekstra untuk mengerjakannya,Negatif,Algoritma Pemrograman 1
belajar ngoding,Positif,Algoritma Pemrograman 1
kurang praktek di lab,Negatif,Algoritma Pemrograman 1
perhitungan,Positif,Kalkulus 1
cara mengajar atau penyampaian materi dosen,Negatif,Kalkulus 1
menghitung,Positif,Sistem Operasi
tidak ada,Negatif,Sistem Operasi
pembahasan mengenai sejarah komputer dan peran informatika di berbagai bidang yang membuka wawasan,Positif,Pengantar Informatika
sebagian materi terasa berulang dan kurang menantang bagi mahasiswa yang sudah memiliki dasar sebelumnya,Negatif,Pengantar Informatika
bagian perhitungan,Positif,Sistem Operasi
kurang paham bagian materi,Negatif,Sistem Operasi
ketika belajar pengukuran data,Positif,Statistika dan Probabilitas
kendalanya kurang memahami di pelajaran peluang,Negatif,Statistika dan Probabilitas
cara belajarnya yang mudah dipahami,Positif,Algoritma Pemrograman 1
sering eror,Negatif,Algoritma Pemrograman 1
pembahasan mengenai manajemen proses dan penjadwalan yang menambah wawasan tentang cara kerja sistem,Positif,Sistem Operasi
beberapa istilah teknis cukup sulit dipahami dan membutuhkan waktu belajar tambahan,Negatif,Sistem Operasi
aku suka saat mengerjakan soal berbasis kasus,Positif,Statistika dan Probabilitas
menurut saya terlalu banyak teori dibanding praktik,Negatif,Statistika dan Probabilitas
ngoding,Positif,Algoritma Pemrograman 1
fasilitas nya kurang seperti komputer banayk yang ngak bisa di gunakan,Negatif,Algoritma Pemrograman 1
saya suka ketika materi sudah dipahami karena terasa memuaskan,Positif,Kalkulus 1
beberapa pembahasan terasa terlalu cepat dan kurang pembahasan mendalam,Negatif,Kalkulus 1
